Chr	Gene	Expression	Significance
1	Tcf15	8.569856	NS
1	Cdk5rap1	8.299208	NS
1	Chmp4b	8.7414665	NS
1	Raly	9.090113	NS
1	Itch	8.647458	NS
1	Cep250	8.348728	NS
1	Epb4.1l1	10.247928	NS
1	Dlgap4	9.625709	0.08358973
1	1110008F13Rik	8.3966055	NS
1	Manbal	9.019591	NS
1	2610304G08Rik	8.867279	NS
1	Ift52	8.33985	NS
1	Ctsa	8.47978	NS
1	Setd6	10.032046	NS
1	Cse1l	9.105908	0.09836355
1	Kcnb1	9.139551	NS
1	Q99KE8-3	9.808965	NS
1	Bcas1	8.592457	NS
1	Cstf1	8.2946205	NS
1	Bmp7	9.390169	NS
1	Gnas	10.321928	NS
1	Cdh4	10.972262	NS
1	Ss18l1	8.994353	NS
1	Slco4a1	8.675957	NS
1	1700019H03Rik	8.447083	NS
1	Lime1	8.6402445	NS
1	Stmn2	8.392317	NS
1	Tbl1xr1	9.748193	0.04960455
1	Spata16	9.219169	NS
1	Aadacl1	9.129283	NS
1	Actl6a	8.566054	NS
1	Ndufb5	8.531382	NS
1	Usp13	9.1111355	NS
1	Spata5	9.2502985	NS
1	Spry1	8.569856	NS
1	Phf17	10.674191	8.24E-04
1	Elf2	8.909893	NS
1	Narg1	8.6402445	NS
1	Setd7	8.47978	NS
1	Foxo1	9.505812	0.08186701
1	Mbnl1	8.6402445	NS
1	Plch1	8.290019	NS
1	Dcamkl2	9.828136	NS
1	Prcc	8.523562	NS
1	2810403A07Rik	8.885696	NS
1	Zbtb7b	8.643856	NS
1	Kcnn3	9.306062	0.08717995
1	Gatad2b	8.724514	NS
1	Arnt	8.714246	NS
1	4930535B03Rik	8.724514	NS
1	Vps45	8.326429	NS
1	Txnip	9.818583	0.025626699
1	Gpr89	8.430452	NS
1	Pde4dip	10.17742	NS
1	Zfp697	9.068778	NS
1	Man1a2	8.326429	NS
1	Bcas2	8.326429	NS
1	Atp5f1	8.974415	0.09310146
1	Ampd2	8.566054	NS
1	Sars	8.754888	NS
1	Ntng1	8.918863	NS
1	A930028L21Rik	8.784636	NS
1	Sass6	8.447083	NS
1	Hiat1	8.778077	NS
1	Abcd3	8.647458	NS
1	Bcar3	10.060696	NS
1	Synpo2	8.738092	NS
1	Sec24d	8.794416	NS
1	Pitx2	8.83289	0.061631776
1	E130014J05Rik	9.702173	0.023998784
1	B930007M17Rik	8.982994	NS
1	2410019A14Rik	8.531382	NS
1	Fubp1	8.894817	NS
1	Pigk	8.897846	NS
1	St6galnac5	9.0821495	NS
1	Slc44a5	9.558421	NS
1	Sfrs11	9.149747	0.0946994
1	Lrrc7	8.988685	NS
1	Rps20	8.28077	0.074885584
1	Runx1t1	9.095397	NS
1	Fbxl4	8.321928	NS
1	Map3k7	8.400879	NS
1	Ube2r2	8.4998455	NS
1	Kif24	8.507794	NS
1	Dnaic1	8.375039	NS
1	Tln1	8.686501	NS
2	Shb	10.171177	NS
2	Col15a1	8.761551	0.06995292
2	E130309F12Rik	8.84549	NS
2	Zfp462	8.430452	NS
2	Epb4.1l4b	9.60733	NS
2	AI314180	8.344296	NS
2	LOC670488	8.299208	NS
2	1110054O05Rik	8.73471	0.09723363
2	Prpf4	8.599913	NS
2	3632413A11Rik	10.609179	NS
2	Cdk5rap2	9.636624	NS
2	Ptprd	8.924812	NS
2	D530005L17Rik	8.661778	NS
2	Rraga	8.375039	0.033631135
2	Mtap	8.48784	NS
2	Jun	8.768185	NS
2	Ankrd38	8.848623	NS
2	Usp1	8.3531475	0.07178239
2	Jak1	9.105908	NS
2	Dhcr24	9.087462	0.094669305
2	BC055111	8.2946205	NS
2	Lrp8	9.226413	NS
2	Txndc12	9.473705	0.04386133
2	Faf1	9.214319	NS
2	4931433A01Rik	10.580258	NS
2	Mast2	8.2946205	NS
2	Toe1	8.577429	NS
2	Ptch2	8.539159	NS
2	Rps8	9.321928	0.04323274
2	4931406I20Rik	10.977995	NS
2	Foxj3	8.467606	NS
2	Nfyc	8.936638	NS
2	Trit1	8.491853	NS
2	Bmp8a	8.83289	NS
2	Inpp5b	9.118941	NS
2	Gnl2	8.584963	NS
2	Snip1	8.3663225	NS
2	Eif2c1	8.703903	NS
2	Dlgap3	9.815384	NS
2	Rbbp4	8.535275	NS
2	Epb4.1	9.541097	NS
2	Med18	8.442944	NS
2	Sesn2	9.485829	0.050745044
2	Atpif1	8.317412	0.034980807
2	Dnajc8	8.921841	NS
2	Eya3	9.207014	NS
2	Smpdl3b	8.317412	NS
2	Stx12	8.3966055	NS
2	NP_079943.1	8.392317	NS
2	Slc9a1	9.0443945	NS
2	Man1c1	9.938109	NS
2	Rhd	8.348728	NS
2	Fusip1	8.47978	NS
2	Aof2	8.603626	NS
2	Akp2	9.154819	NS
2	Pla2g5	8.467606	NS
2	Pax7	9.224002	0.01709202
2	Sdhb	8.451211	NS
2	Arhgef19	8.33985	NS
2	Spen	9.33539	NS
2	Rsc1a1	8.519636	NS
2	Pdpn	8.430452	NS
2	Vps13d	9.761551	NS
2	Ctnnbip1	8.611025	NS
2	Pik3cd	8.9307375	NS
2	Rere	10.027905	NS
2	Plekhg5	8.3663225	NS
2	Espn	9.812177	NS
2	Rnf207	8.584963	NS
2	Kcnab2	9.0741415	NS
2	Ube2j2	8.285402	NS
2	Ankib1	8.507794	NS
2	Cyp51	8.794416	NS
2	Fbxl13	8.894817	NS
2	AB112350	8.5961895	NS
2	Orc5l	8.682995	NS
2	Lhfpl3	9.308339	NS
2	Dnajb6	9.216745	0.077580504
2	Gm444	8.592457	NS
2	Kcnk3	8.519636	NS
2	Dpysl5	9.095397	NS
2	Gtf3c2	9.28077	0.06502352
2	Xab1	8.417852	NS
2	Pisd	9.047124	NS
2	Depdc5	8.727921	NS
2	Fgfr3	8.388017	NS
2	Letm1	8.618385	NS
2	Whsc2	8.661778	NS
2	Jakmip1	9.192293	NS
2	Evc	8.326429	NS
2	2310045A20Rik	8.661778	0.081258796
2	Tbc1d1	10.2526655	NS
2	Klf3	9.758224	0.017760769
2	9030416H16Rik	8.299208	NS
2	BC013481	9.829722	NS
2	Slc30a9	8.308339	NS
2	Q9D824-2	8.5736475	NS
2	Pdgfra	8.455327	NS
2	Rest	8.625709	NS
2	Lphn3	9.93369	NS
2	Hnrpd	8.629356	NS
2	Hel308	8.451211	NS
2	Ptpn13	9.409391	NS
2	Hsd17b11	8.290019	NS
2	Lrrc8c	8.721099	NS
2	Lrrc8d	9.968667	0.0686848
2	Tgfbr3	9.517669	NS
2	Gak	8.839204	NS
2	Tpte2	8.471676	0.07927647
2	Gtpbp6	9.084808	0.091247775
2	Noc4l	8.303781	NS
2	Ttc28	10.542065	NS
2	Coro1c	9.7911625	0.03658769
2	BC057022	8.942514	NS
2	2410014A08Rik	8.942514	NS
2	1500001A10Rik	9.58684	NS
2	Nos1	9.287712	NS
2	Fbxw8	9.02514	NS
2	Tpcn1	9.06609	NS
2	Tmem116	10.660888	0.04472668
2	Mapkapk5	8.28077	NS
2	Cutl2	8.495855	NS
2	Atp2a2	8.771489	NS
2	Zcchc8	8.321928	NS
2	Pitpnm2	9.652844	NS
2	NM_013812.2	8.357552	NS
2	Ubc	8.707359	0.04613631
2	Sfrs8	9.060696	NS
2	Mmp17	8.5736475	NS
2	0610007L01Rik	8.379378	NS
2	Wbscr16	8.348728	NS
2	Gtf2i	9.548822	0.07178858
2	Clip2	8.344296	NS
2	Eif4h	8.851748	NS
2	2900083I11Rik	8.873445	NS
2	Lrch4	9.174926	0.09406056
2	Hrbl	8.326429	NS
2	Tsc22d4	8.388017	NS
2	BC004044	8.426265	NS
2	Eif3s9	8.951284	NS
2	Iqce	8.299208	NS
2	6530401C20Rik	8.409391	NS
2	Zfp469	10.095397	NS
2	Fscn1	9.84235	0.013175665
2	Pms2	9.6402445	0.035049062
2	Usp12	8.810572	NS
2	Pan3	8.643856	NS
2	4930434E21Rik	8.5961895	NS
2	Hsp110	8.3966055	NS
2	Ica1	8.714246	NS
2	Impdh1	8.787903	NS
2	Ube2h	8.665337	NS
2	Lrguk	8.507794	NS
2	Dgki	9.727921	NS
2	Zc3hav1	8.471676	NS
2	Ndufb2	8.3966055	NS
2	Ezh2	8.442944	NS
2	Zfp775	8.442944	NS
2	Znrf2	8.778077	NS
2	C330043M08Rik	8.592457	NS
2	Fkbp9	9.098032	0.09206809
2	Smarcad1	8.83605	NS
2	Serbp1	9.152286	NS
2	Eif2ak3	8.823367	NS
2	Htra2	8.388017	0.063535556
2	Exoc6b	10.125413	NS
2	Tia1	8.47978	NS
2	Antxr1	9.497852	NS
2	8430410A17Rik	8.413628	NS
2	Eefsec	9.726218	NS
2	Gpr175	8.554589	NS
2	Klf15	8.400879	NS
2	Magi1	11.321364	NS
2	C630007B19Rik	9.778077	NS
2	Foxp1	10.425216	NS
2	ENSMUSG00000072872	8.5961895	NS
2	Cntn4	9.098032	NS
2	Bhlhb2	8.861087	NS
2	Edem1	8.3966055	NS
2	1110061O04Rik	8.321928	NS
2	Rpl32	9.333156	0.050841663
2	Ift122	8.588715	NS
2	Tmcc1	8.78136	NS
2	Zfp239	8.5622425	NS
2	Fbxl14	8.891784	0.09741338
2	Cecr5	8.303781	NS
2	M6pr	8.321928	NS
2	Nanog	8.70044	NS
2	Clstn3	8.290019	NS
2	Mboat5	8.60733	NS
2	Mlf2	8.495855	NS
2	Ndufa9	8.438791	NS
2	Fkbp4	9.283089	0.08865097
2	Ptpro	9.129283	NS
2	Strap	8.6402445	NS
2	Aebp2	9.134426	0.09076152
2	Pde3a	9.292321	NS
2	Ldhb	8.511753	NS
2	5730419I09Rik	9.052568	NS
2	Etnk1	9.057992	NS
2	Ergic2	8.60733	NS
2	Tmtc1	9.865733	NS
2	Tmc4	8.383704	NS
2	Ttyh1	8.459432	NS
2	U2af2	8.636624	NS
2	Zscan22	8.417852	NS
2	Slc8a2	8.483816	NS
2	Bbc3	9.481799	0.054555167
2	Grlf1	9.328674	NS
2	Slc1a5	9.917372	0.012271765
2	Prkd2	8.519636	NS
2	Ppp5c	9.033423	NS
2	BC024868	8.797662	NS
2	Dedd2	9.172428	0.08846327
3	Cic	9.729621	0.021885231
3	Ltbp4	10.429407	8.87E-04
3	Akt2	8.915879	NS
3	Ryr1	10.4346285	NS
3	Spint2	9.005625	NS
3	EG330503	9.068778	NS
3	Polr2i	8.675957	0.05912964
3	Akt1s1	9.7414665	0.03662309
3	Prmt1	8.566054	NS
3	Prr12	8.707359	NS
3	Nosip	8.447083	NS
3	Rps11	9.014021	0.037699364
3	Rpl13a	9.457381	0.039536852
3	2410127E16Rik	9.515699	0.054486673
3	Myd116	8.451211	0.08021176
3	Nomo1	8.717677	NS
3	Ldha	9.092757	NS
3	5330421F07Rik	10.824959	NS
3	Prmt3	8.558421	NS
3	B230362M20Rik	9.738092	NS
3	Trpm1	8.668885	0.095223434
3	Pcsk6	9.879583	NS
3	Dmn	8.816983	NS
3	Mctp2	9.179909	NS
3	Chd2	9.463524	0.074507475
3	Rccd1	8.5622425	NS
3	Alpk3	8.754888	NS
3	Rps17	9.33539	0.034555063
3	2210412D01Rik	8.794416	NS
3	Picalm	8.507794	NS
3	Nars2	8.60733	NS
3	Tsku	8.392317	NS
3	Rps3	9.583082	0.053203125
3	Rab6	8.581201	NS
3	Trpc2	8.426265	NS
3	Stim1	9.199673	NS
3	Mrpl17	8.539159	NS
3	Syt9	9.055282	NS
3	Ipo7	9.019591	NS
3	Wee1	8.945444	NS
3	Eif4g2	8.447083	NS
3	Xylt1	10	NS
3	9030624J02Rik	9.105908	NS
3	Iqck	8.960002	NS
3	Polr3e	8.543032	NS
3	Sbk1	8.903882	NS
3	Ccdc95	8.330916	NS
3	Zfp629	9.948367	0.039212774
3	Fbxl19	8.60733	NS
3	BC039632	9.815384	0.015606439
3	1110007A13Rik	8.703903	NS
3	Nsmce4a	8.5961895	NS
3	Tacc2	10.427313	NS
3	A930008G19Rik	9.390169	NS
3	Dhx32	9.014021	NS
3	Adam12	9.918863	NS
3	Ptpre	9.319673	NS
3	Txnl2	8.717677	NS
3	Lrrc56	8.285402	NS
3	Ctsd	8.3966055	NS
3	2310057J16Rik	9.052568	NS
3	Trappc5	8.717677	NS
3	B130050I23Rik	8.83605	NS
3	Col4a1	9.748193	NS
3	Col4a2	9.036174	NS
3	Lamp1	8.654636	NS
3	Tmco3	8.707359	NS
3	Csmd1	11.62571	NS
3	Xkr5	9.068778	NS
3	Atp7b	8.864186	NS
3	Mrps31	8.804131	NS
3	Slc20a2	9.548822	0.091575846
3	Plekha2	9.121533	NS
3	Tacc1	9.228819	NS
3	Whsc1l1	9.306062	NS
3	Bag4	8.569856	NS
3	D8Ertd354e	8.483816	NS
3	Brf2	8.357552	NS
3	Adrb3	8.9307375	NS
3	Nrg1	9.467606	NS
3	Ppp2cb	8.731319	NS
3	Tnks	9.560332	NS
3	6430573F11Rik	8.83605	NS
3	Dlc1	10.944712	0.07604152
3	Sgcz	8.413628	NS
3	Tusc3	8.867279	NS
3	Zdhhc2	8.4346285	NS
3	Lrp2bp	8.409391	NS
3	Enpp6	8.317412	NS
3	Stox2	9.556506	NS
3	D030016E14Rik	8.422065	NS
3	Galnt7	9.709084	NS
3	Nek1	9.052568	NS
3	Sh3rf1	9.96145	NS
3	Sc4mol	8.903882	NS
3	Psd3	9.310613	NS
3	Ints10	8.629356	NS
3	D330038O06Rik	8.348728	NS
3	Pbx4	8.774787	NS
3	BC028663	9.702173	0.079604484
3	Rfxank	8.813782	NS
3	Crtc1	8.906891	NS
3	Ubc	9.02514	0.052306946
3	2810422J05Rik	12.499846	0.001971271
3	Isyna1	8.577429	NS
3	Ssbp4	8.885696	NS
3	Arrdc2	8.3706875	0.096020564
3	Ccdc124	9.005625	0.083645254
3	Myo9b	8.467606	NS
3	Q3TQH6_MOUSE	8.33539	NS
3	Unc13a	10.197217	0.04974142
3	Ap1m1	8.3706875	NS
3	Mcm5	9.1848755	0.08568547
3	Abce1	8.503826	NS
3	Zswim4	8.33539	NS
3	Hook2	8.829722	NS
3	Phkb	9.521601	NS
3	BC004022	9.733015	0.022539565
3	Adcy7	8.6402445	0.094400585
3	Tnrc9	8.558421	NS
3	Nudt21	8.330916	NS
3	Bbs2	8.4346285	NS
3	ENSMUSG00000074144	8.388017	0.076855116
3	Gpr56	8.442944	NS
3	Zfp319	8.3706875	NS
3	Cdh11	8.388017	NS
3	2310066E14Rik	8.97728	NS
3	Ctrl	11.486835	0.001269424
3	Lypla3	8.550747	NS
3	Cdh3	9.276124	NS
3	Cdh1	10.791977	0.001100503
3	Sntb2	9.784636	0.03460084
3	Cog8	9.813782	0.026790446
3	2400003C14Rik	8.463524	NS
3	Vac14	9.753217	NS
3	2010004A03Rik	8.804131	NS
3	Sf3b3	9.60733	0.029729925
3	Ddx19b	8.771489	NS
3	Glg1	9.53333	0.076466925
3	Rfwd3	8.661778	NS
3	AI427515	9.052568	NS
3	Gan	9.092757	NS
3	Plcg2	9.884171	NS
3	Mphosph6	8.693487	NS
3	Gse1	11.191676	0.013441389
3	1190005I06Rik	8.603626	NS
3	Fbxo31	9.285402	0.07301823
3	Mvd	8.383704	NS
3	Cbfa2t3h	9.319673	NS
3	Tcf25	8.982994	NS
3	Nup133	9.084808	NS
3	Cog2	8.67948	NS
3	E330039K12Rik	9.422065	NS
3	BC021891	8.523562	NS
3	Nrp1	9.121533	NS
3	ENSMUSG00000074561	8.357552	NS
3	Pgr	8.383704	NS
3	Cntn5	8.9307375	NS
3	Mtmr2	8.686501	NS
3	Pin1	8.2946205	NS
3	Slc44a2	8.936638	NS
3	Smarca4	9.002815	NS
3	Bmper	9.169925	NS
3	Hnt	11.125413	NS
3	St3gal4	8.643856	NS
3	Grik4	9.988685	NS
3	Pvrl1	9.011227	NS
3	Hyou1	8.603626	NS
3	Bcl9l	9.459432	0.072584294
3	Ube4a	8.438791	NS
3	Dscaml1	10.427313	NS
3	Igsf4a	10.485829	NS
3	Zbtb16	9.346514	0.038933
4	Usp28	9.503826	0.050670505
4	Slc35f2	9.219169	0.07988782
4	Wdr61	8.290019	NS
4	Lrrn6a	9.457381	NS
4	Cspg4	8.28077	NS
4	4930535E21Rik	8.6402445	0.03174041
4	Nptn	8.3531475	NS
4	Uaca	9.098032	NS
4	Kif23	8.4346285	NS
4	Smad3	9.517669	NS
4	Megf11	10.463524	NS
4	Punc	9.060696	NS
4	Pdcd7	8.409391	NS
4	Pif1	9.1369915	NS
4	Trip4	8.918863	NS
4	Csnk1g1	8.67948	NS
4	Tpm1	8.857981	NS
4	Cgnl1	9.523562	NS
4	Tmod3	8.854869	NS
4	Elovl5	9.0443945	NS
4	Myo6	8.632996	NS
4	Ttk	8.321928	NS
4	Snx14	8.413628	NS
4	Rasgrf1	8.523562	0.06746966
4	Plod2	8.426265	NS
4	AI427122	8.550747	NS
4	Spsb4	9.398744	NS
4	Mras	8.48784	NS
4	3222402P14Rik	8.33539	NS
4	Nek11	8.787903	NS
4	Pik3r4	8.285402	NS
4	Vprbp	8.317412	NS
4	Ihpk1	8.885696	NS
4	Rnf123	8.599913	NS
4	Qrich1	8.672425	NS
4	Scotin	8.2946205	NS
4	Ptpn23	8.503826	NS
4	Nbeal2	9.430452	NS
4	Als2cl	8.475734	NS
4	Pdcd6ip	8.675957	NS
4	Ubp1	8.523562	NS
4	Crtap	8.303781	NS
4	Dync1li1	8.810572	NS
4	Stt3b	9.344296	0.070357606
4	Myrip	9.2620945	NS
4	Kif15	8.5961895	NS
4	Lars2	8.636624	NS
4	Fbxo5	8.422065	0.087552294
4	Pcmt1	8.618385	NS
4	Utrn	10.713387	NS
4	Hivep2	9.3966055	NS
4	3110003A17Rik	8.816983	NS
4	Sgk	10.333156	0.003209875
4	Akap7	9.264442	NS
4	L3mbtl3	8.768185	NS
4	Ptprk	10.440869	NS
4	Tspyl1	8.417852	0.032656405
4	Traf3ip2	8.375039	NS
4	Slc16a10	8.675957	NS
4	Amd2	8.405142	NS
4	Armc2	8.344296	NS
4	Foxo3a	10.084808	0.075521946
4	Lace1	9.405142	NS
4	Prdm1	8.33539	NS
4	Cbara1	9.5736475	NS
4	Cdh23	10.401946	NS
4	Tysnd1	8.873445	NS
4	Ddx21	8.618385	NS
4	Ddx50	8.2946205	NS
4	Stox1	8.361943	NS
4	Rhobtb1	8.727921	NS
4	Cdc2a	9.041659	NS
4	Ank3	10.849405	NS
4	Ipmk	8.84549	NS
4	Rtdr1	8.774787	NS
4	Smarcb1	8.584963	NS
4	Col18a1	10.224002	0.07119669
4	Pfkl	8.84549	NS
4	Nnp1	8.558421	NS
4	Palm	8.326429	NS
4	Sbno2	9.052568	NS
4	Midn	9.008429	NS
4	Dazap1	8.569856	NS
4	Mbd3	8.665337	0.08145297
4	Klf16	8.861087	NS
4	Plekhj1	8.758224	0.038552433
4	Eef2	8.558421	NS
4	Gna15	8.455327	NS
4	Stab2	8.9008665	NS
4	Ascl1	8.438791	NS
4	Anks1b	10.728771	NS
4	Lta4h	8.357552	NS
4	Cradd	10.38694	0.09994224
4	Zdhhc17	8.48784	NS
4	Lgr5	8.686501	NS
4	Frs2	8.83289	NS
4	Mdm2	8.710806	NS
4	Msrb3	8.787903	NS
4	Srgap1	8.751544	NS
4	Stat6	8.897846	NS
4	Cs	8.636624	NS
4	1500004A08Rik	8.383704	NS
4	1110020P15Rik	8.3663225	0.084180534
4	Zmat5	8.299208	NS
4	Ewsr1	9.312883	0.0714107
4	Xbp1	8.661778	0.0763795
4	Nudcd3	9.771489	0.0610565
4	Ppia	8.422065	0.06892013
4	Ccm2	8.413628	NS
4	Adcy1	9.23362	NS
4	Upp1	9.319673	0.06900275
4	Actr2	8.330916	NS
4	Rab1	9.033423	NS
4	Cep68	8.761551	NS
4	Sertad2	9.924812	0.041427325
4	Xpo1	9.202124	0.07660878
4	Spnb2	10.068778	NS
4	Psme4	8.774787	NS
4	Rhbdf1	8.392317	NS
4	Rars	8.357552	NS
4	Odz2	11.340406	NS
4	Mat2b	9.076816	0.09527462
4	Ccnjl	8.511753	NS
4	Adam19	9.746514	NS
4	Trim7	8.546894	NS
4	Gfpt2	9.0443945	NS
4	Hnrph1	8.344296	0.07881684
4	Rufy1	8.668885	NS
4	Agxt2l2	8.6402445	NS
4	Rmnd5b	8.379378	NS
4	C330016O10Rik	9.379378	0.061788872
4	Vdac1	9.485829	0.0400325
4	Fstl4	10.489848	NS
4	Shroom1	8.566054	NS
4	Rapgef6	9.209454	NS
4	Tnip1	10.0754795	NS
4	Anxa6	8.851748	NS
4	Cnot8	8.710806	NS
4	Arf1	8.906891	NS
4	Wnt3a	8.539159	0.08855079
4	Rai1	10.7364025	NS
4	Srebf1	9.245553	0.06823775
5	Alkbh5	8.864186	NS
5	Smcr8	8.721099	NS
5	Aldh3a2	8.515699	NS
5	Slc5a10	8.794416	NS
5	Specc1	10.088788	NS
5	Ncor1	9.453271	0.09246401
5	Trp53	9.142107	NS
5	Med31	8.357552	NS
5	Mybbp1a	9.027905	NS
5	BC011467	8.379378	NS
5	Ube2g1	9.060696	NS
5	1300001I01Rik	8.876517	NS
5	Smg6	9.6402445	NS
5	Rtn4rl1	9.511753	NS
5	Crk	8.731319	NS
5	Gemin4	8.2946205	NS
5	Nxn	10.549785	NS
5	Git1	8.939579	NS
5	Sez6	8.581201	0.021595953
5	Nek8	8.299208	NS
5	Centa2	8.724514	NS
5	Appbp2	8.665337	NS
5	Mtmr4	8.873445	NS
5	Stxbp4	8.618385	NS
5	Cacna1g	8.523562	0.039208665
5	Ngfr	8.83605	NS
5	B4galnt2	8.550747	NS
5	Nfe2l1	9.350939	0.06622758
5	Pcgf2	9.207014	NS
5	Rpl19	8.894817	0.056742083
5	Stac2	8.584963	NS
5	Thrap4	10.744833	NS
5	Casc3	9.303781	0.06469612
5	Rab5c	8.632996	NS
5	Stat3	8.948367	NS
5	G6pc	9.417852	NS
5	Rpl27	9.1111355	0.044921383
5	Vat1	8.503826	NS
5	BC025575	8.483816	NS
5	Ccdc43	8.3531475	NS
5	Plcd3	8.622051	NS
5	Hexim1	8.447083	NS
5	Mapt	10.101975	NS
5	Cdc27	8.675957	NS
5	Map3k3	8.357552	NS
5	Smarcd2	11.107217	0.002826241
5	Ddx5	8.451211	0.08613207
5	Helz	9.264442	NS
5	Gna13	8.864186	NS
5	Slc39a11	10.394463	NS
5	D11Wsu99e	8.581201	NS
5	D11Wsu47e	8.643856	NS
5	Cdc42ep4	9.139551	0.088809855
5	ENSMUSG00000057322	9.3706875	0.04580198
5	Rab37	9.285402	NS
5	Grin2c	8.717677	NS
